id,castAt,voterName,billTitle,choice
5ab4fd3a-18c1-47cd-8b7c-2c510e67e8c1,2026-02-19T05:32:39.884Z,Petra Walsh,Displaced Worker Fiscal Relief Act,yea
eb3c9d55-b557-4a2a-836a-e73fccfeb018,2026-02-19T05:32:39.289Z,Petra Walsh,The Right to Vocational Education Act,yea
946dee81-609a-495d-9a0d-5f6177cdb5bd,2026-02-19T05:32:38.563Z,Petra Walsh,Equitable Technological Innovation Act,yea
e706f4d9-4ad1-4881-8c7e-1052a0733820,2026-02-19T05:32:37.652Z,Ezra Cole,Displaced Worker Fiscal Relief Act,yea
6cfff94f-4b4a-43b1-918e-34147b28b593,2026-02-19T05:32:36.689Z,Ezra Cole,The Right to Vocational Education Act,nay
248f419b-4077-42ad-96e6-1063af384dc6,2026-02-19T05:32:36.176Z,Ezra Cole,Equitable Technological Innovation Act,yea
e13d605b-475e-4ccb-8eca-a49855c9c7db,2026-02-19T05:32:35.719Z,Rio Castillo,Displaced Worker Fiscal Relief Act,nay
2c625d36-9f3e-4c16-ba0d-b329a5eebdd2,2026-02-19T05:32:35.028Z,Rio Castillo,The Right to Vocational Education Act,nay
6796f106-16b1-42c3-a510-c784ecf0d7b8,2026-02-19T05:32:34.277Z,Rio Castillo,Equitable Technological Innovation Act,yea
e7b9224e-13c3-4dcf-bc8e-a03de78067db,2026-02-19T05:32:31.782Z,Lena Vasquez,Equitable Technological Innovation Act,yea
751c4eba-4fbb-4a96-aff7-79e8880e58e2,2026-02-19T05:32:29.181Z,Idris Osei,Displaced Worker Fiscal Relief Act,nay
63538863-4c0b-40dc-93d8-eb494c125a5f,2026-02-19T05:32:28.470Z,Idris Osei,The Right to Vocational Education Act,nay
68e37c5d-677c-4c7c-bf4f-c0fd1af988c3,2026-02-19T05:32:27.830Z,Idris Osei,Equitable Technological Innovation Act,yea
9ff77aaa-ad2e-46d1-992b-f0b9fe2f3a43,2026-02-19T05:32:27.034Z,Tess Harlow,Displaced Worker Fiscal Relief Act,nay
fa76d449-7909-4643-b3f9-63d009e51313,2026-02-19T05:32:24.659Z,Cal Brennan,Displaced Worker Fiscal Relief Act,yea
07c16bd3-888b-44be-aba1-ad10ab1e871d,2026-02-19T05:32:24.348Z,Cal Brennan,The Right to Vocational Education Act,yea
e4fc77ba-5890-424d-9fe6-4636abbccc19,2026-02-19T05:32:23.876Z,Cal Brennan,Equitable Technological Innovation Act,yea
b57e46ee-52db-4a5e-bdbc-7119c96bd217,2026-02-19T05:32:23.082Z,Dax Nguyen,Displaced Worker Fiscal Relief Act,yea
48df5415-f9cf-402b-8990-a0141223df67,2026-02-19T05:32:23.079Z,Dax Nguyen,The Right to Vocational Education Act,yea
b88cc031-2599-4107-8dc4-0a724402f88a,2026-02-19T05:32:23.073Z,Dax Nguyen,Equitable Technological Innovation Act,yea
b271f1fa-6669-4684-963f-77d22753b69c,2026-02-19T05:32:23.064Z,Knox Aldridge,Displaced Worker Fiscal Relief Act,yea
24d0bc64-9f4c-4a57-b69e-db452888d537,2026-02-19T05:32:21.995Z,Knox Aldridge,The Right to Vocational Education Act,yea
7343790b-1e80-4dde-b208-820c1537e33e,2026-02-19T05:32:20.816Z,Soren Pike,Displaced Worker Fiscal Relief Act,yea
39722aa4-4692-4944-88d9-cce6465b7772,2026-02-19T05:32:20.147Z,Soren Pike,The Right to Vocational Education Act,nay
5b42b96c-b0df-4f72-9b13-3181f90a26fa,2026-02-19T05:32:19.838Z,Soren Pike,Equitable Technological Innovation Act,yea
ad52456a-a54d-407d-b1d0-7b8e6f62b5e5,2026-02-19T05:32:17.830Z,Sam Ritter,Displaced Worker Fiscal Relief Act,yea
2ac71ca8-4940-43b6-bd5f-c25589f28cf7,2026-02-19T05:32:17.828Z,Sam Ritter,The Right to Vocational Education Act,yea
729bc2be-485f-4414-980c-3d8924032160,2026-02-19T05:32:17.826Z,Sam Ritter,Equitable Technological Innovation Act,yea
9e8a8ac2-6dca-4a47-a1a2-2983d9ab6f6c,2026-02-19T05:32:17.822Z,Zara Moss,Displaced Worker Fiscal Relief Act,nay
fb39a467-5820-4f50-bb2d-a4aa5bc00b0d,2026-02-19T05:32:17.818Z,Zara Moss,The Right to Vocational Education Act,nay
3800ef93-efd5-4d92-bb13-eeba5745252a,2026-02-19T05:32:16.950Z,Marco Lenz,Displaced Worker Fiscal Relief Act,yea
a6ba8f3a-4292-4ff1-88bf-760c77849c00,2026-02-19T05:32:16.089Z,Marco Lenz,The Right to Vocational Education Act,yea
6a1faa2b-eb48-4980-b660-622d485970f5,2026-02-19T05:32:14.108Z,Vesper Crane,Displaced Worker Fiscal Relief Act,yea
cfb31fa9-6ffc-4505-a687-3c48273561ec,2026-02-19T05:32:13.316Z,Vesper Crane,The Right to Vocational Education Act,yea
b044d5f3-229c-4fc1-9140-d2711e5c9225,2026-02-19T05:32:12.498Z,Vesper Crane,Equitable Technological Innovation Act,yea
36f4a2a7-fab8-4ea4-aaf4-409ad540aea7,2026-02-19T05:32:11.641Z,Elio Drace,Displaced Worker Fiscal Relief Act,yea
75d38701-50e6-4bd2-88e5-12688403b72f,2026-02-19T05:32:10.781Z,Elio Drace,The Right to Vocational Education Act,yea
ded8fc9b-6db6-42e4-b74a-7f98477b1c22,2026-02-19T05:32:08.901Z,Caspian Vell,Displaced Worker Fiscal Relief Act,yea
db4660c4-56af-4119-adf6-c0d5acaa00ea,2026-02-19T05:32:08.130Z,Caspian Vell,The Right to Vocational Education Act,yea
afe15554-f409-498f-a61d-17179f35dda2,2026-02-19T05:32:07.472Z,Caspian Vell,Equitable Technological Innovation Act,yea
c64b8813-7125-4ccb-b0ec-b9e223c39016,2026-02-19T05:32:06.545Z,Nora Callahan,Displaced Worker Fiscal Relief Act,nay
c6598568-bd84-4822-a0e8-415e827380f2,2026-02-19T05:32:06.541Z,Nora Callahan,The Right to Vocational Education Act,yea
1a96d8d2-d8b6-473f-b79a-0d542a1a7d18,2026-02-19T05:32:05.922Z,Nora Callahan,Equitable Technological Innovation Act,yea
05b8d2a9-90b3-4fbf-bd8a-535600a62d72,2026-02-19T05:32:04.967Z,Rue Maddox,Displaced Worker Fiscal Relief Act,yea
3bf763da-9e6d-46b8-805d-a109ddbc3281,2026-02-19T05:32:04.059Z,Rue Maddox,The Right to Vocational Education Act,yea
ae0c01cf-be6a-4af3-abad-887a3d26f769,2026-02-19T05:32:03.376Z,Rue Maddox,Equitable Technological Innovation Act,yea
02d20aad-13a2-4358-8912-23176d5c08d1,2026-02-19T05:32:02.538Z,Sable Chen,Displaced Worker Fiscal Relief Act,yea
614fbb44-dacc-4249-b88b-d50acffa039c,2026-02-19T05:32:02.535Z,Sable Chen,The Right to Vocational Education Act,nay
bd2206be-08e0-49e2-a061-5ba7967fd005,2026-02-19T05:32:01.520Z,Sable Chen,Equitable Technological Innovation Act,yea
aa9d86e6-432d-4a32-928c-26a25d6114a8,2026-02-19T05:32:01.517Z,Garrett Voss,Displaced Worker Fiscal Relief Act,nay
ecc95743-401d-4ecf-ae4d-7527b9bc339f,2026-02-19T05:32:01.515Z,Garrett Voss,The Right to Vocational Education Act,yea
4c9268a3-a977-4e92-ab36-efb078d321a9,2026-02-19T05:32:01.513Z,Garrett Voss,Equitable Technological Innovation Act,yea
8c342936-594b-44e8-ab2c-3589dea82bc2,2026-02-19T05:32:01.508Z,Finn Kalani,Displaced Worker Fiscal Relief Act,nay
6946e8cb-3b10-4ece-b46e-aadbe234540c,2026-02-19T05:32:01.504Z,Finn Kalani,The Right to Vocational Education Act,nay
db5afa40-67bb-462b-b8a5-d5fc362aa42b,2026-02-19T05:32:00.307Z,Finn Kalani,Equitable Technological Innovation Act,nay
fcde5c8d-efc1-43c6-bc0c-f191548ca572,2026-02-19T05:31:58.706Z,Briar Song,Displaced Worker Fiscal Relief Act,yea
fe3ccb68-c995-47eb-b74f-789f69b1491b,2026-02-19T05:31:57.879Z,Briar Song,The Right to Vocational Education Act,yea
d43a2326-b98f-433e-a9af-5a715d45750a,2026-02-19T05:31:57.135Z,Briar Song,Equitable Technological Innovation Act,yea
